ip,port,type,country,anonymity,source,last_checked,response_time_ms
69.164.206.96,13024,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
154.6.87.62,6532,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
184.170.248.5,4145,socks5,US,elite,github-raw,2026-08-01T03:31:24.305Z,
72.207.113.97,4145,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
165.227.135.90,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
61.171.50.169,6688,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
205.185.126.51,5556,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
8.215.25.3,2080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.166.90.86,8090,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
107.175.119.254,6782,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
70.166.65.160,4145,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
178.130.47.42,1081,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
115.127.62.50,1088,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
177.125.212.244,4145,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
91.142.75.202,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
123.58.219.171,10808,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
64.204.90.17,999,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
186.211.1.37,60606,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
89.237.33.113,51549,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
197.221.240.247,80,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
37.211.38.70,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
201.184.165.91,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
144.91.111.48,1088,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
74.119.144.60,4145,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
197.221.240.240,80,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
217.69.121.134,5799,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
198.105.122.222,6795,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
51.250.6.232,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
38.199.6.82,999,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.43.191.71,8888,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
213.230.121.41,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
89.249.194.92,6491,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
24.249.199.4,4145,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
200.16.211.74,4153,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
144.217.12.20,10808,socks5,CA,elite,github-raw,2026-08-01T03:31:24.305Z,
47.81.56.193,8888,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
1.180.0.162,7302,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
97.74.87.226,80,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
69.58.12.201,8206,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
38.41.225.174,8888,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
101.96.117.164,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.4.145.132,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
195.19.52.147,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
147.91.22.150,80,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
46.202.59.59,8309,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
95.182.78.10,5678,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
218.78.65.202,6688,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
8.221.141.88,8081,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.18.205.162,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
185.245.183.130,8118,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
43.167.226.158,6666,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
167.99.124.118,80,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
213.87.101.134,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
174.138.161.146,51638,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
102.0.16.226,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
51.15.133.214,16379,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
89.213.106.25,999,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.48.71.114,83,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
185.14.47.52,16088,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
200.108.50.254,4145,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
162.220.247.196,6791,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
83.56.15.57,5678,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
188.191.164.55,4890,socks5,RU,elite,github-raw,2026-08-01T03:31:24.305Z,
103.151.74.5,2025,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.174.178.133,1020,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
118.70.13.38,41857,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.6.251.240,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
121.101.186.202,3128,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.138.145.228,1999,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
51.75.126.150,57328,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
87.239.251.202,1081,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
83.147.216.208,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
138.0.143.120,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
5.45.126.128,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
146.103.3.105,7158,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
115.127.106.226,1088,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
34.43.46.91,80,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
67.227.36.185,6227,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
202.165.47.90,55443,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
140.238.28.230,10808,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
163.172.167.48,80,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
